userId,Reponse 1, Cours lu 1,Reponse 2, Cours lu 2,Reponse 3, Cours lu 3,Reponse 4, Cours lu 4,Reponse 5, Cours lu 5,Reponse 6, Cours lu 6,Reponse 7, Cours lu 7,Reponse 8, Cours lu 8,Reponse 9, Cours lu 9,Reponse 10, Cours lu 10,Reponse 11, Cours lu 11,Reponse 12, Cours lu 12
1,,,,,,,,,,,,,"Allemagne",X,,X,,X,,X,,X,,X
2,,,,,,,,,,,,,,,,,,,,,,,,
